,Title,Details,Cost,Descriptions,Attention Grabber
103,"Tesla Model S 75, Cream Interior, Pano Roof, 21'' Turbines 5dr","2017 (67 reg)|Saloon|12,830 miles|319PS|Automatic|Electric|1 owner|Full service history|ULEZ","£45,000","An excellent, clean, well cared for low mileage example which represents terrific …",Includes Autopark and Summon
104,Tesla Model S P85+ PERFORMANCE PLUS CVT RWD 5d 416 BHP 1.0,"2014 (14 reg)|Saloon|58,000 miles|1.0L|285BHP|Automatic|Electric","£41,995",We are offering to the market a stunning 2014 Tesla Model S P85+ Performance …,Panoramic Glass Roof
105,Tesla Model S E 85 CVT 5dr,"2014 (64 reg)|Saloon|70,000 miles|362BHP|Automatic|Electric|Full dealership history","£30,975",Finished in Polar White paint! A 36 month comprehensive extended warranty is …,Auto Pilot! Air Suspension! ++
106,Tesla Model S Performance Auto 4WD 5dr (Ludicrous),"2016 (66 reg)|Saloon|28,000 miles|611PS|Automatic|Electric|3 owners|ULEZ","£54,750",This stunning Tesla Model S P90d certainly stands out from the crowd. The vehicle …,P90d Performance Dual Motor
107,"Tesla Model S P 100D, Ludicrous +, Hi-Fi Sound, Sub-Zero 5dr","2018 (67 reg)|Saloon|11,362 miles|611PS|Automatic|Electric|Full service history|ULEZ","£78,250",Ludicrous + Speed Upgrade! Astonishing 2.4 second 0-60 time with staggeringly …,"Low Mileage, Air Suspension"
108,Tesla Model S 75D Auto 4WD 5dr,"2017 (17 reg)|Saloon|46,246 miles|333PS|Automatic|Electric|1 owner|ULEZ","£41,000","CALL 01245 351234, 19 Inch Alloy Wheels, Privacy Glass, SAT NAV, Parking Package, …","BUY ONLINE, SHOWROOM NOW OPEN"
109,Tesla Model S E P85D CVT 4x4 5dr (Nav),"2015 (65 reg)|Saloon|63,000 miles|691BHP|Automatic|Electric","£42,885",NEW IN STOCK - BLACK - PART LEATHER INTERIOR - 12 MONTHS WARRANTY - 12 MONTHS MOT …,19s+SAT NAV+RCAM+H/SEATS
110,Tesla Model S E 85 CVT 5dr,"2016 (16 reg)|Saloon|34,000 miles|362BHP|Automatic|Electric|1 owner|Full dealership history","£39,995",We are now offering the option to have any vehicle in stock delivered to your …,SAFE NATIONWIDE DELIVERY TODAY
111,Tesla Model S 75 Auto 5dr,"2017 (67 reg)|Saloon|89,500 miles|319PS|Automatic|Electric|2 owners|ULEZ","£35,490","This has been an absolutely outstanding car, which I have owned for almost three …",Excellent Condition 0-60  4.3s
112,Tesla Model S 60 5dr,"2014 (14 reg)|Saloon|12,056 miles|Automatic|Electric|1 owner","£35,999",** You can also contact us on Tel: 01403 750456 & Tel: 07968 378189 ** 12 months …,12 Month RAC Warranty
113,"Tesla Model S 75D UNCORKED, Full Self Driving Upgrade 5dr","2017 (67 reg)|Saloon|34,029 miles|333PS|Automatic|Electric|Full service history|ULEZ","£48,950",A Rare Uncorked 75D (Performance Upgrade) 0-60 mph in 4.2 seconds - a full second …,Full Self Driving - Uncorked
114,Tesla Model S E P85D CVT 4x4 5dr (Nav),"2015 (65 reg)|Saloon|60,000 miles|691BHP|Automatic|Electric|1 owner","£42,995",*INSANE+ SPEED* *0-60 IN 3.1 SEC* 1 OWNER* Synergy Motors Are Pleased To Present …,"£20K OPTIONAL EXTRAS, INSANE+"
115,Tesla Model S 90D Auto 4WD 5dr,"2017 (67 reg)|Saloon|27,716 miles|423PS|Automatic|Electric|2 owners|ULEZ","£53,490","Just arrived in, we have another of these lightning quick fully electric Tesla …",ENHANCED AUTOPILOT+PREMIUM PK
116,Tesla Model S 60D Auto 4WD 5dr,"2017 (17 reg)|Saloon|35,000 miles|333PS|Automatic|Electric|1 owner|ULEZ","£41,995",4WD Model S finished in Midnight Silver (Dark Grey) Metallic (£900) with White …,"4WD, Free Super Fast Charging!"
117,Tesla Model S 0.0 75D 5d 517 BHP NATIONWIDE DELIVERY Available,"2018 (18 reg)|Saloon|17,149 miles|1.0L|517BHP|Automatic|Electric","£47,995",NATIONWIDE DELIVERY Available. Finished in Red Metallic With Full Black Electric …,FULL GLASS PAN ROOF
118,Tesla Model S E 85D CVT 4x4 5dr (Nav),"CAT|Write-off Category Icon|2015 (65 reg)|Saloon|105,000 miles|422BHP|Automatic|Electric|1 owner","£30,995","7 SEATER, 4 YEARS REMAINING TESLA WARRANTY, CHARGING CABLE, 2 KEYS AVAILABLE, …",FREE UNLIMITED SUPERCHARGE
119,Tesla Model S 75D Auto 4WD 5dr,"2018 (18 reg)|Saloon|48,000 miles|333PS|Automatic|Electric|1 owner|ULEZ","£45,666",CLICK & CONTACTLESS COLLECTION + FREE STAY IN ONE OF OUR 5 BOUTIQUE HOTELS WHEN …,RESERVE ONLINE/COLLECT
120,Tesla Model S 0.0 100D 5d 762 BHP,"2018 (67 reg)|Saloon|22,937 miles|762BHP|Automatic|Electric","£62,985",Zero deposit soft search finance available (15+ finance lenders) + 5 star …,
121,Tesla Model S 90D Auto 4WD 5dr,"2017 (17 reg)|Saloon|76,000 miles|423PS|Automatic|Electric|1 owner|ULEZ","£45,999","Well looked after, one owner vehicle, 12 months MOT, Excellent bodywork, Interior …","VAT Qualifying, Very clean car"
122,Tesla Model S E 70D CVT 4x4 5dr,"2016 (16 reg)|Saloon|21,700 miles|329BHP|Automatic|Electric|1 owner","£39,995",One owner Duel Motor four wheel drive Finished in Deep Blue Metallic with  Light …,OPENING GLASS ROOF FULLLEATHER
123,Tesla Model S P100DL Auto 4WD 5dr (Ludicrous),"2017 (17 reg)|Saloon|40,000 miles|611PS|Automatic|Electric|1 owner|ULEZ","£65,995",*LUDICROUS+ UPGRADE* *0-60 IN 2.4 SEC* 1 OWNER* Synergy Motors Are Pleased To …,*FREE SUPERCHARGING*
124,"Tesla Model S 85, Free Supercharging Autopilot Hi Fi Sound 5dr","2014 (64 reg)|Saloon|49,909 miles|362BHP|Automatic|Electric|3 owners","£35,250",An excellent low mileage example of the Model S 85 finished in rare Dark Blue …,Opening Panoramic Sunroof
125,Tesla Model S 100D 5dr,"2018 (18 reg)|Saloon|14,654 miles|423PS|Automatic|Electric|ULEZ","£63,975",WE ARE FULLY OPEN FOR BUSINESS USING SOCIAL DISTANCING GUIDELINES. 2018/18 TESLA …,ENHANCED AP + AIR SUS
126,Tesla Model S 75 Auto 5dr,"2017 (67 reg)|Saloon|27,500 miles|319PS|Automatic|Electric|ULEZ","£43,950","Tesla Model S in gorgeous pearl white multicoat with black leather interior, …",Enhanced AutoPilot / Pan Roof
127,Tesla Model S P90D Ludicrous Plus 5dr,"2015 (65 reg)|Saloon|46,700 miles|691BHP|Automatic|Electric","£51,989",Lakeside cars are delighted to be offering this rare beast. Finished in Multi …,P90D Ludicrous + Rare 7 Seater
128,Tesla Model S 90D Saloon 5dr Electric Auto 4WD (417 bhp),"2017 (67 reg)|Saloon|32,827 miles|423PS|Automatic|Electric|ULEZ","£51,995","Blue, All our vehicles come HPI checked & clear. We offer competitive finance …",Sunroof-Adaptive Suspension
129,"Tesla Model S P85, High Fidelity Sound, Air Suspension, 21"" …","2014 (14 reg)|Saloon|55,312 miles|Automatic|Electric|3 owners","£36,500","A rare, highly specified, stunning example of the Tesla P85 rear wheel drive …",
130,Tesla Model S 0.0 85D 5d 517 BHP 01937 849492 OPTION 1,"2015 (65 reg)|Saloon|54,000 miles|1.0L|517BHP|Automatic|Electric","£39,490",ARRIVING SOON. MORE INFO AVAILABLE ON FEATURES TAB BELOW. TEL 01937 849492 OPTION …,SUV4X4 PRESTIGE LS23 7FR
131,Tesla Model S E P85D CVT 4x4 5dr (Nav),"2016 (65 reg)|Saloon|33,200 miles|691BHP|Automatic|Electric","£46,875",BLACK - BLACK LEATHER INTERIOR - 12 MONTHS WARRANTY - 12 MONTHS MOT - HPI CLEAR - …,HIGHWAY AUTOPILOT+SAT NAV+RCAM
